word,original_ipa,normalized_ipa,changes_count,changes_detail
ABINGTON,ˈæbɪŋtən,ˈæbɪŋtən,0,
ABIO,ˈɑːbiːoʊ,ˈɑːbiːoʊ,0,
ABIOLA,ˌɑːbiːˈoʊlə,ˌɑːbiːˈoʊlə,0,
ABIOLA'S,ˌɑːbiːˈoʊləz,ˌɑːbiːˈoʊləz,0,
ABIOMED,eɪˈbiːəmɛd,eɪˈbiːəmɛd,0,
ABIQUIU,əˈbɪkjuː,əˈbɪkjuː,0,
ABITIBI,ˌæbɪˈtiːbi,ˌæbɪˈtiːbi,0,
ABITZ,ˈæbɪts,ˈæbɪts,0,
ABJECT,ˈæbdʒɛkt,ˈæbdʒɛkt,0,
ABKHAZIA,"æbˈkɑːzjə, æbˈkæzjə","æbˈkɑːzjə, æbˈkæzjə",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABKHAZIAN,"æbˈkɑːziːən, æbˈkæziːən, æbˈkɑːzjən, æbˈkæzjən","æbˈkɑːziːən, æbˈkæziːən, æbˈkɑːzjən, æbˈkæzjən",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABKHAZIANS,"æbˈkɑːziːənz, æbˈkæziːənz","æbˈkɑːziːənz, æbˈkæziːənz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABLAZE,əˈbleɪz,əˈbleɪz,0,
ABLE,ˈeɪbəl,ˈeɪbəl,0,
ABLE-BODIED,ˈeɪbəlˈbɑːdiːd,ˈeɪbəl ˈbɑːdiːd,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
ABLED,ˈeɪbəld,ˈeɪbəld,0,
ABLER,"ˈeɪbəlɝ, ˈeɪblɝ","ˈeɪbəlɝ, ˈeɪblɝ",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABLES,ˈeɪbəlz,ˈeɪbəlz,0,
ABLEST,"ˈeɪbəlst, ˈeɪbləst","ˈeɪbəlst, ˈeɪbləst",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABLOOM,əˈbluːm,əˈbluːm,0,
ABLY,ˈeɪbli,ˈeɪbli,0,
ABNEGATION,ˌæbnɛˈgeɪʃən,ˌæbnɛˈgeɪʃən,0,
ABNER,ˈæbnɝ,ˈæbnɝ,0,
ABNEY,ˈæbni,ˈæbni,0,
ABNORMAL,æbˈnɔrməl,æbˈnɔrməl,0,
ABNORMALITIES,ˌæbnɔrˈmælətiːz,ˌæbnɔrˈmælətiːz,0,
ABNORMALITY,ˌæbnɔrˈmæləti,ˌæbnɔrˈmæləti,0,
ABNORMALLY,æbˈnɔrməli,æbˈnɔrməli,0,
ABO,ˈɑːboʊ,ˈɑːboʊ,0,
ABO'S,ˈɑːboʊz,ˈɑːboʊz,0,
ABOARD,əˈbɔrd,əˈbɔrd,0,
ABODE,əˈboʊd,əˈboʊd,0,
ABOHALIMA,æbəhəˈliːmə,æbəhəˈliːmə,0,
ABOLISH,əˈbɑːlɪʃ,əˈbɑːlɪʃ,0,
ABOLISHED,əˈbɑːlɪʃt,əˈbɑːlɪʃt,0,
ABOLISHES,əˈbɑːlɪʃɪz,əˈbɑːlɪʃɪz,0,
ABOLISHING,əˈbɑːlɪʃɪŋ,əˈbɑːlɪʃɪŋ,0,
ABOLITION,ˌæbəˈlɪʃən,ˌæbəˈlɪʃən,0,
ABOLITIONISM,ˌæbəˈlɪʃəˌnɪzəm,ˌæbəˈlɪʃəˌnɪzəm,0,
ABOLITIONIST,ˌæbəˈlɪʃənəst,ˌæbəˈlɪʃənəst,0,
ABOLITIONISTS,"ˌæbəˈlɪʃənəsts, ˌæbəˈlɪʃənəs","ˌæbəˈlɪʃənəsts, ˌæbəˈlɪʃənəs",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABOMINABLE,əˈbɑːmənəbəl,əˈbɑːmənəbəl,0,
ABOMINATION,əˌbɑːməˈneɪʃən,əˌbɑːməˈneɪʃən,0,
ABOMINATIONS,əˌbɑːməˈneɪʃənz,əˌbɑːməˈneɪʃənz,0,
ABOOD,əˈbuːd,əˈbuːd,0,
ABOODI,əˈbuːdi,əˈbuːdi,0,
ABOR,əˈbɔr,əˈbɔɹ,1,ルール13: ([aeiouəɪɛɔɑɜɝɪu])+r\b -> \1ɹ
ABORIGINAL,ˌæbɝˈɪdʒənəl,ˌæbɝˈɪdʒənəl,0,
ABORIGINE,ˌæbɝˈɪdʒəni,ˌæbɝˈɪdʒəni,0,
ABORIGINES,ˌæbɝˈɪdʒəniːz,ˌæbɝˈɪdʒəniːz,0,
ABORN,əˈbɔrn,əˈbɔrn,0,
ABORT,əˈbɔrt,əˈbɔrt,0,
ABORTED,əˈbɔrtɪd,əˈbɔrtɪd,0,
ABORTIFACIENT,əˌbɔrtəˈfeɪʃənt,əˌbɔrtəˈfeɪʃənt,0,
ABORTIFACIENTS,əˌbɔrtəˈfeɪʃənts,əˌbɔrtəˈfeɪʃənts,0,
ABORTING,əˈbɔrtɪŋ,əˈbɔrtɪŋ,0,
ABORTION,əˈbɔrʃən,əˈbɔrʃən,0,
ABORTIONIST,əˈbɔrʃənɪst,əˈbɔrʃənɪst,0,
ABORTIONISTS,"əˈbɔrʃənɪsts, əˈbɔrʃənɪs","əˈbɔrʃənɪsts, əˈbɔrʃənɪs",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABORTIONS,əˈbɔrʃənz,əˈbɔrʃənz,0,
ABORTIVE,əˈbɔrtɪv,əˈbɔrtɪv,0,
ABORTS,əˈbɔrts,əˈbɔrts,0,
ABOTT,əˈbɑːt,əˈbɑːt,0,
ABOU,əˈbuː,əˈbuː,0,
ABOUD,ɑːˈbuːd,ɑːˈbuːd,0,
ABOUHALIMA,ˌɑːbuːhɑːˈliːmə,ˌɑːbuːhɑːˈliːmə,0,
ABOUHALIMA'S,ˌɑːbuːhɑːˈliːməz,ˌɑːbuːhɑːˈliːməz,0,
ABOUND,əˈbaʊnd,əˈbaʊnd,0,
ABOUNDED,əˈbaʊndɪd,əˈbaʊndɪd,0,
ABOUNDING,əˈbaʊndɪŋ,əˈbaʊndɪŋ,0,
ABOUNDS,əˈbaʊndz,əˈbaʊndz,0,
ABOUT,əˈbaʊt,əˈbaʊt,0,
ABOUT'S,əˈbaʊts,əˈbaʊts,0,
ABOVE,əˈbʌv,əˈbʌv,0,
ABOVE'S,əˈbʌvz,əˈbʌvz,0,
ABOVEBOARD,əˈbʌvˌbɔrd,əˈbʌvˌbɔrd,0,
ABPLANALP,ˈæbplənælp,ˈæbplənælp,0,
ABRA,ˈɑːbrə,ˈɑːbrə,0,
ABRACADABRA,ˌæbrəkəˈdæbrə,ˌæbrəkəˈdæbrə,0,
ABRAHAM,ˈeɪbrəˌhæm,ˈeɪbrəˌhæm,0,
ABRAHAMIAN,ˌæbrəˈheɪmiːən,ˌæbrəˈheɪmiːən,0,
ABRAHAMS,ˈeɪbrəˌhæmz,ˈeɪbrəˌhæmz,0,
ABRAHAMSEN,æbrəˈhæmsən,æbrəˈhæmsən,0,
ABRAHAMSON,əˈbræhəmsən,əˈbræhəmsən,0,
ABRAM,əˈbræm,əˈbræm,0,
ABRAM'S,ˈeɪbrəmz,ˈeɪbrəmz,0,
ABRAMCZYK,ˈɑːbrəmtʃɪk,ˈɑːbrəmtʃɪk,0,
ABRAMO,ɑːˈbrɑːmoʊ,ɑːˈbrɑːmoʊ,0,
ABRAMOVITZ,əˈbrɑːməvɪts,əˈbrɑːməvɪts,0,
ABRAMOWICZ,əˈbrɑːməvɪtʃ,əˈbrɑːməvɪtʃ,0,
ABRAMOWITZ,əˈbrɑːməwɪts,əˈbrɑːməwɪts,0,
ABRAMS,ˈeɪbrəmz,ˈeɪbrəmz,0,
ABRAMS'S,ˈeɪbrəmzɪz,ˈeɪbrəmzɪz,0,
ABRAMSON,ˈeɪbrəmsən,ˈeɪbrəmsən,0,
ABRASION,əˈbreɪʒən,əˈbreɪʒən,0,
ABRASIONS,əˈbreɪʒənz,əˈbreɪʒənz,0,
ABRASIVE,əˈbreɪsɪv,əˈbreɪsɪv,0,
ABRASIVES,əˈbreɪsɪvz,əˈbreɪsɪvz,0,
ABRAXA,əˈbræksə,əˈbræksə,0,
ABRAXA'S,əˈbræksəz,əˈbræksəz,0,
ABRAXAS,əˈbræksəz,əˈbræksəz,0,
ABREAST,əˈbrɛst,əˈbrɛst,0,
ABREGO,ɑːˈbrɛgoʊ,ɑːˈbrɛgoʊ,0,
ABREU,əˈbruː,əˈbruː,0,
ABRIDGE,əˈbrɪdʒ,əˈbrɪdʒ,0,
ABRIDGED,əˈbrɪdʒd,əˈbrɪdʒd,0,
ABRIDGEMENT,əˈbrɪdʒmənt,əˈbrɪdʒmənt,0,
ABRIDGES,əˈbrɪdʒəz,əˈbrɪdʒəz,0,
ABRIDGING,əˈbrɪdʒɪŋ,əˈbrɪdʒɪŋ,0,
ABRIL,əˈbrɪl,əˈbrɪl,0,
ABROAD,əˈbrɔd,əˈbrɔd,0,
ABROGATE,ˈæbrəˌgeɪt,ˈæbrəˌgeɪt,0,
ABROGATED,ˈæbrəˌgeɪtɪd,ˈæbrəˌgeɪtɪd,0,
ABROGATING,ˈæbrəˌgeɪtɪŋ,ˈæbrəˌgeɪtɪŋ,0,
ABROGATION,ˌæbrəˈgeɪʃən,ˌæbrəˈgeɪʃən,0,
ABROL,əˈbroʊl,əˈbroʊl,0,
ABRON,əˈbrɑːn,əˈbrɑːn,0,
ABRUPT,əˈbrʌpt,əˈbrʌpt,0,
ABRUPTLY,əˈbrʌptli,əˈbrʌptli,0,
ABRUPTNESS,əˈbrʌptnəs,əˈbrʌptnəs,0,
ABRUTYN,ˈeɪbruːtɪn,ˈeɪbruːtɪn,0,
ABRUZZESE,ɑːbruːtˈseɪzi,ɑːbruːtˈseɪzi,0,
ABRUZZO,ɑːˈbruːzoʊ,ɑːˈbruːzoʊ,0,
ABS,"ˈeɪˈbiːˈɛs, ˈæbz","ˈeɪ ˈbiːˈɛs, ˈæbz",3,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1; ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2"
ABSALOM,ˈæbsələm,ˈæbsələm,0,
ABSARAKA,æbˈsɑːrəkə,æbˈsɑːrəkə,0,
ABSCAM,ˈæbskæm,ˈæbskæm,0,
ABSCESS,ˈæbˌsɛs,ˈæbˌsɛs,0,
ABSCOND,æbˈskɑːnd,æbˈskɑːnd,0,
ABSCONDED,æbˈskɑːndəd,æbˈskɑːndəd,0,
ABSCONDING,æbˈskɑːndɪŋ,æbˈskɑːndɪŋ,0,
ABSCONDS,æbˈskɑːndz,æbˈskɑːndz,0,
ABSECON,ˈæbsəkɔn,ˈæbsəkɔn,0,
ABSENCE,ˈæbsəns,ˈæbsəns,0,
ABSENCES,ˈæbsənsɪz,ˈæbsənsɪz,0,
ABSENT,ˈæbsənt,ˈæbsənt,0,
ABSENTEE,ˌæbsənˈtiː,ˌæbsənˈtiː,0,
ABSENTEEISM,ˌæbsənˈtiːɪzəm,ˌæbsənˈtiːɪzəm,0,
ABSENTEES,ˌæbsənˈtiːz,ˌæbsənˈtiːz,0,
ABSENTIA,æbˈsɛnʃə,æbˈsɛnʃə,0,
ABSHER,ˈæbʃɝ,ˈæbʃɝ,0,
ABSHIER,ˈæbʃiːɝ,ˈæbʃiːɝ,0,
ABSHIRE,ˈæbˌʃaɪr,ˈæbˌʃɪɹ,1,ルール13: ([aeiouəɪɛɔɑɜɝɪu])+r\b -> \1ɹ
ABSINTHE,ˈæbsɪnθ,ˈæbsɪnθ,0,
ABSO,ˈæbsoʊ,ˈæbsoʊ,0,
ABSOLOM,ˈæbsələm,ˈæbsələm,0,
ABSOLUT,ˌæbsəˈluːt,ˌæbsəˈluːt,0,
ABSOLUT'S,ˌæbsəˈluːts,ˌæbsəˈluːts,0,
ABSOLUTE,ˈæbsəˌluːt,ˈæbsəˌluːt,0,
ABSOLUTELY,ˌæbsəˈluːtli,ˌæbsəˈluːtli,0,
ABSOLUTENESS,ˈæbsəˌluːtnəs,ˈæbsəˌluːtnəs,0,
ABSOLUTES,ˈæbsəˌluːts,ˈæbsəˌluːts,0,
ABSOLUTION,ˌæbsəˈluːʃən,ˌæbsəˈluːʃən,0,
ABSOLUTISM,ˈæbsəˌluːˌtɪzəm,ˈæbsəˌluːˌtɪzəm,0,
ABSOLUTIST,æbsəˈluːtɪst,æbsəˈluːtɪst,0,
ABSOLVE,"əbˈzɑːlv, æbˈzɑːlv","əbˈzɑːlv, æbˈzɑːlv",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSOLVED,"əbˈzɑːlvd, æbˈzɑːlvd","əbˈzɑːlvd, æbˈzɑːlvd",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSOLVES,"əbˈzɑːlvz, æbˈzɑːlvz","əbˈzɑːlvz, æbˈzɑːlvz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSOLVING,"əbˈzɑːlvɪŋ, æbˈzɑːlvɪŋ","əbˈzɑːlvɪŋ, æbˈzɑːlvɪŋ",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSORB,əbˈzɔrb,əbˈzɔrb,0,
ABSORBED,əbˈzɔrbd,əbˈzɔrbd,0,
ABSORBENCY,əbˈzɔrbənsi,əbˈzɔrbənsi,0,
ABSORBENT,əbˈzɔrbənt,əbˈzɔrbənt,0,
ABSORBER,əbˈzɔrbɝ,əbˈzɔrbɝ,0,
ABSORBERS,əbˈzɔrbɝz,əbˈzɔrbɝz,0,
ABSORBING,əbˈzɔrbɪŋ,əbˈzɔrbɪŋ,0,
ABSORBS,əbˈzɔrbz,əbˈzɔrbz,0,
ABSORPTION,"əbˈzɔrpʃən, əbˈsɔrpʃən","əbˈzɔrpʃən, əbˈsɔrpʃən",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSTAIN,"əbˈsteɪn, æbˈsteɪn","əbˈsteɪn, æbˈsteɪn",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSTAINED,"əbˈsteɪnd, æbˈsteɪnd","əbˈsteɪnd, æbˈsteɪnd",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSTAINING,"əbˈsteɪnɪŋ, æbˈsteɪnɪŋ","əbˈsteɪnɪŋ, æbˈsteɪnɪŋ",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSTENTION,"əbˈstɛntʃən, æbˈstɛntʃən","əbˈstɛntʃən, æbˈstɛntʃən",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSTENTIONS,"əbˈstɛntʃənz, æbˈstɛntʃənz","əbˈstɛntʃənz, æbˈstɛntʃənz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSTINENCE,ˈæbstənəns,ˈæbstənəns,0,
ABSTINENT,ˈæbstənənt,ˈæbstənənt,0,
ABSTON,ˈæbstən,ˈæbstən,0,
ABSTRACT,"æbˈstrækt, ˈæbˌstrækt","æbˈstrækt, ˈæbˌstrækt",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABSTRACTED,ˈæbˌstræktɪd,ˈæbˌstræktɪd,0,
ABSTRACTION,æbˈstrækʃən,æbˈstrækʃən,0,
ABSTRACTIONS,æbˈstrækʃənz,æbˈstrækʃənz,0,
ABSTRACTS,ˈæbstrækts,ˈæbstrækts,0,
ABSTRUSE,əbˈstruːs,əbˈstruːs,0,
ABSURD,əbˈsɝːd,əbˈsɝːd,0,
ABSURDIST,əbˈsɝːdɪst,əbˈsɝːdɪst,0,
ABSURDITIES,əbˈsɝːdətiːz,əbˈsɝːdətiːz,0,
ABSURDITY,əbˈsɝːdəti,əbˈsɝːdəti,0,
ABSURDLY,əbˈsɝːdli,əbˈsɝːdli,0,
ABT,"ˈæbt, ˈeɪˈbiːˈtiː","ˈæbt, ˈeɪ ˈbiːˈtiː",3,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1; ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2"
ABTS,"ˈæbts, ˈeɪˈbiːˈtiːz, ˈeɪˈbiːˈtiːˈɛs","ˈæbts, ˈeɪ ˈbiːˈtiːz, ˈeɪ ˈbiːˈtiː ˈɛs",3,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1; ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2"
ABU,ˈæbuː,ˈæbuː,0,
ABUDRAHM,əˈbʌdrəm,əˈbʌdrəm,0,
ABUELLAH,əbˈwɛlə,əbˈwɛlə,0,
ABUELLAH'S,əbˈwɛləz,əbˈwɛləz,0,
ABULADZE,ˌæbjuːˈlædzi,ˌæbjuːˈlædzi,0,
ABUNDANCE,əˈbʌndəns,əˈbʌndəns,0,
ABUNDANT,əˈbʌndənt,əˈbʌndənt,0,
ABUNDANTLY,əˈbʌndəntli,əˈbʌndəntli,0,
ABURTO,əˈbʊrˌtoʊ,əˈbʊrˌtoʊ,0,
ABURTO'S,əˈbʊrˌtoʊz,əˈbʊrˌtoʊz,0,
ABUSE,"əˈbjuːs, əˈbjuːz","əˈbjuːs, əˈbjuːz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABUSED,əˈbjuːzd,əˈbjuːzd,0,
ABUSER,əˈbjuːzɝ,əˈbjuːzɝ,0,
ABUSERS,əˈbjuːzɝz,əˈbjuːzɝz,0,
ABUSES,"əˈbjuːsɪz, əˈbjuːzɪz","əˈbjuːsɪz, əˈbjuːzɪz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABUSING,əˈbjuːzɪŋ,əˈbjuːzɪŋ,0,
ABUSIVE,əˈbjuːsɪv,əˈbjuːsɪv,0,
ABUT,əˈbʌt,əˈbʌt,0,
ABUTS,əˈbʌts,əˈbʌts,0,
ABUTTED,əˈbʌtəd,əˈbʌtəd,0,
ABUTTING,əˈbʌtɪŋ,əˈbʌtɪŋ,0,
ABUZZ,əˈbʌz,əˈbʌz,0,
ABYSMAL,əˈbɪzməl,əˈbɪzməl,0,
ABYSMALLY,əˈbɪzməli,əˈbɪzməli,0,
ABYSS,əˈbɪs,əˈbɪs,0,
ABYSSINIA,æbˈsɪˌniːə,æbˈsɪˌniːə,0,
ABYSSINIAN,æbˈsɪˌniːən,æbˈsɪˌniːən,0,
ABZUG,"ˈæbˌzəg, ˈæbˌzʊg","ˈæbˌzəg, ˈæbˌzʊg",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
AC,ˈeɪˈsiː,ˈeɪ ˈsiː,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
ACA,ˈækə,ˈækə,0,
ACACIA,əˈkeɪʃə,əˈkeɪʃə,0,
ACADEME,ˈækəˌdiːm,ˈækəˌdiːm,0,
ACADEMIA,ˌækəˈdiːmiːə,ˌækəˈdiːmiːə,0,
ACADEMIC,ˌækəˈdɛmɪk,ˌækəˈdɛmɪk,0,
ACADEMICALLY,ˌækəˈdɛmɪkli,ˌækəˈdɛmɪkli,0,
ACADEMICIAN,ˌækədəˈmɪʃən,ˌækədəˈmɪʃən,0,
ACADEMICIANS,"ˌækədəˈmɪʃənz, əˌkædəˈmɪʃənz","ˌækədəˈmɪʃənz, əˌkædəˈmɪʃənz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ACADEMICS,ˌækəˈdɛmɪks,ˌækəˈdɛmɪks,0,
ACADEMIES,əˈkædəmiːz,əˈkædəmiːz,0,
ACADEMY,əˈkædəmi,əˈkædəmi,0,
ACADEMY'S,əˈkædəmiːz,əˈkædəmiːz,0,
ACADIA,əˈkeɪdiːə,əˈkeɪdiːə,0,
ACAMPO,əˈkɑːmpoʊ,əˈkɑːmpoʊ,0,
ACAMPORA,əˈkæmpɝə,əˈkæmpɝə,0,
ACAMPSIA,əˈkæmpsjə,əˈkæmpsjə,0,
ACANTHA,ɑːˈkɑːnðə,ɑːˈkɑːnðə,0,
ACAPULCO,ˌækəˈpʊlkoʊ,ˌækəˈpʊlkoʊ,0,
ACARY,ˈækɝi,ˈækɝi,0,
ACCARDI,ɑːˈkɑːrdi,ɑːˈkɑːrdi,0,
ACCARDO,ɑːˈkɑːrdoʊ,ɑːˈkɑːrdoʊ,0,
ACCEDE,ækˈsiːd,ækˈsiːd,0,
ACCEDED,ækˈsiːdɪd,ækˈsiːdɪd,0,
ACCEDES,ækˈsiːdz,ækˈsiːdz,0,
ACCEDING,ækˈsiːdɪŋ,ækˈsiːdɪŋ,0,
ACCEL,əkˈsɛl,əkˈsɛl,0,
ACCELERANT,ækˈsɛlɝənt,ækˈsɛlɝənt,0,
ACCELERANTS,ækˈsɛlɝənts,ækˈsɛlɝənts,0,
